Strikprice,Optiontype,COI,OI,Volume
16050,CE,-1,72,9
16050,PE,-2016,1747,11499
16150,CE,0,30,2
16150,PE,-1168,2517,25719
16250,CE,-4,87,13
16250,PE,1503,5155,48699
16350,CE,-4,72,29
16350,PE,-560,11987,116910
16450,CE,-18,74,66
16450,PE,744,10820,178335
16550,CE,-9,120,218
16550,PE,7712,15560,290597
16650,CE,80,248,1151
16650,PE,2450,25912,510562
16750,CE,-61,352,5973
16750,PE,5104,24857,662509
16850,CE,263,1109,42197
16850,PE,2093,20403,1014659
16950,CE,1669,9292,274208
16950,PE,8463,39178,1253558
17050,CE,34128,38870,1740549
17050,PE,13742,49044,1754840
17150,CE,26630,48942,1444931
17150,PE,-16825,7095,427730
17250,CE,33918,62999,1333334
17250,PE,-6208,3237,85473
17350,CE,52342,85445,1147462
17350,PE,-844,2580,14253
17450,CE,6241,40750,628495
17450,PE,-270,1755,2600
17550,CE,-20153,28679,409163
17550,PE,-61,865,1279
17650,CE,-3273,20667,197577
17650,PE,-90,687,230
17750,CE,-3768,10810,76984
17750,PE,-46,392,102
17850,CE,-1730,8319,45102
17850,PE,-10,829,38
17950,CE,482,5246,33072
17950,PE,-25,376,74
16050,CE,-1,72,9
16050,PE,-2016,1747,11499
16150,CE,0,30,2
16150,PE,-1168,2517,25719
16250,CE,-4,87,13
16250,PE,1503,5155,48699
16350,CE,-4,72,29
16350,PE,-560,11987,116910
16450,CE,-18,74,66
16450,PE,744,10820,178335
16550,CE,-9,120,218
16550,PE,7712,15560,290597
16650,CE,80,248,1151
16650,PE,2450,25912,510562
16750,CE,-61,352,5973
16750,PE,5104,24857,662509
16850,CE,263,1109,42197
16850,PE,2093,20403,1014659
16950,CE,1669,9292,274208
16950,PE,8463,39178,1253558
17050,CE,34128,38870,1740549
17050,PE,13742,49044,1754840
17150,CE,26630,48942,1444931
17150,PE,-16825,7095,427730
17250,CE,33918,62999,1333334
17250,PE,-6208,3237,85473
17350,CE,52342,85445,1147462
17350,PE,-844,2580,14253
17450,CE,6241,40750,628495
17450,PE,-270,1755,2600
17550,CE,-20153,28679,409163
17550,PE,-61,865,1279
17650,CE,-3273,20667,197577
17650,PE,-90,687,230
17750,CE,-3768,10810,76984
17750,PE,-46,392,102
17850,CE,-1730,8319,45102
17850,PE,-10,829,38
17950,CE,482,5246,33072
17950,PE,-25,376,74
16050,CE,-1,72,9
16050,PE,-2016,1747,11499
16150,CE,0,30,2
16150,PE,-1168,2517,25719
16250,CE,-4,87,13
16250,PE,1503,5155,48699
16350,CE,-4,72,29
16350,PE,-560,11987,116910
16450,CE,-18,74,66
16450,PE,744,10820,178335
16550,CE,-9,120,218
16550,PE,7712,15560,290597
16650,CE,80,248,1151
16650,PE,2450,25912,510562
16750,CE,-61,352,5973
16750,PE,5104,24857,662509
16850,CE,263,1109,42197
16850,PE,2093,20403,1014659
16950,CE,1669,9292,274208
16950,PE,8463,39178,1253558
17050,CE,34128,38870,1740549
17050,PE,13742,49044,1754840
17150,CE,26630,48942,1444931
17150,PE,-16825,7095,427730
17250,CE,33918,62999,1333334
17250,PE,-6208,3237,85473
17350,CE,52342,85445,1147462
17350,PE,-844,2580,14253
17450,CE,6241,40750,628495
17450,PE,-270,1755,2600
17550,CE,-20153,28679,409163
17550,PE,-61,865,1279
17650,CE,-3273,20667,197577
17650,PE,-90,687,230
17750,CE,-3768,10810,76984
17750,PE,-46,392,102
17850,CE,-1730,8319,45102
17850,PE,-10,829,38
17950,CE,482,5246,33072
17950,PE,-25,376,74
16050,CE,-1,72,9
16050,PE,-2016,1747,11499
16150,CE,0,30,2
16150,PE,-1168,2517,25719
16250,CE,-4,87,13
16250,PE,1503,5155,48699
16350,CE,-4,72,29
16350,PE,-560,11987,116910
16450,CE,-18,74,66
16450,PE,744,10820,178335
16550,CE,-9,120,218
16550,PE,7712,15560,290597
16650,CE,80,248,1151
16650,PE,2450,25912,510562
16750,CE,-61,352,5973
16750,PE,5104,24857,662509
16850,CE,263,1109,42197
16850,PE,2093,20403,1014659
16950,CE,1669,9292,274208
16950,PE,8463,39178,1253558
17050,CE,34128,38870,1740549
17050,PE,13742,49044,1754840
17150,CE,26630,48942,1444931
17150,PE,-16825,7095,427730
17250,CE,33918,62999,1333334
17250,PE,-6208,3237,85473
17350,CE,52342,85445,1147462
17350,PE,-844,2580,14253
17450,CE,6241,40750,628495
17450,PE,-270,1755,2600
17550,CE,-20153,28679,409163
17550,PE,-61,865,1279
17650,CE,-3273,20667,197577
17650,PE,-90,687,230
17750,CE,-3768,10810,76984
17750,PE,-46,392,102
16050,CE,-1,72,9
16050,PE,-2016,1747,11499
17850,CE,-1730,8319,45102
17850,PE,-10,829,38
16150,CE,0,30,2
16150,PE,-1168,2517,25719
16250,CE,-4,87,13
16250,PE,1503,5155,48699
17950,CE,482,5246,33072
17950,PE,-25,376,74
16350,CE,-4,72,29
16350,PE,-560,11987,116910
16450,CE,-18,74,66
16450,PE,744,10820,178335
16550,CE,-9,120,218
16550,PE,7712,15560,290597
16650,CE,80,248,1151
16650,PE,2450,25912,510562
16750,CE,-61,352,5973
16750,PE,5104,24857,662509
16850,CE,263,1109,42197
16850,PE,2093,20403,1014659
16950,CE,1669,9292,274208
16950,PE,8463,39178,1253558
17050,CE,34128,38870,1740549
17050,PE,13742,49044,1754840
17150,CE,26630,48942,1444931
17150,PE,-16825,7095,427730
17250,CE,33918,62999,1333334
17250,PE,-6208,3237,85473
17350,CE,52342,85445,1147462
17350,PE,-844,2580,14253
17450,CE,6241,40750,628495
17450,PE,-270,1755,2600
17550,CE,-20153,28679,409163
17550,PE,-61,865,1279
17650,CE,-3273,20667,197577
17650,PE,-90,687,230
17750,CE,-3768,10810,76984
17750,PE,-46,392,102
17850,CE,-1730,8319,45102
17850,PE,-10,829,38
17950,CE,482,5246,33072
17950,PE,-25,376,74
